'Elapsed time','MLII','V1',
'12:30.656',-0.005,0.18,11111111111111100100000
'12:30.658',0.035,0.165,00000000000010110110000
'12:30.661',0.025,0.145,00000000000010000010000
'12:30.664',0.025,0.13,00000000000010000010000
'12:30.667',0.035,0.115,00000000000010110110000
'12:30.669',0.055,0.105,00000000000100100000000
'12:30.672',0.075,0.09,00000000000110001000000
'12:30.675',0.085,0.075,00000000000110111100000
'12:30.678',0.08,0.075,00000000000110100010000
'12:30.681',0.065,0.08,00000000000101010100000
'12:30.683',0.04,0.08,00000000000011010000000
'12:30.686',0.02,0.1,00000000000001101000000
'12:30.689',0.025,0.12,00000000000010000010000
'12:30.692',0.015,0.145,00000000000001001110000
'12:30.694',-0.005,0.14,11111111111111100100000
'12:30.697',-0.02,0.155,11111111111110010110000
'12:30.700',-0.01,0.155,11111111111111001010000
'12:30.703',-0.01,0.17,11111111111111001010000
'12:30.706',-0.025,0.19,11111111111101111100000
'12:30.708',-0.055,0.18,11111111111011011110000
'12:30.711',-0.07,0.155,11111111111010010000000
'12:30.714',-0.1,0.125,11111111110111110010000
'12:30.717',-0.115,0.135,11111111110110100100000
'12:30.719',-0.135,0.14,11111111110100111100000
'12:30.722',-0.125,0.15,11111111110101110000000
'12:30.725',-0.11,0.155,11111111110110111110000
'12:30.728',-0.12,0.145,11111111110110001010000
'12:30.731',-0.12,0.135,11111111110110001010000
'12:30.733',-0.12,0.14,11111111110110001010000
'12:30.736',-0.11,0.155,11111111110110111110000
'12:30.739',-0.1,0.16,11111111110111110010000
'12:30.742',-0.085,0.17,11111111111001000010000
'12:30.744',-0.105,0.175,11111111110111011000000
'12:30.747',-0.105,0.19,11111111110111011000000
'12:30.750',-0.11,0.245,11111111110110111110000
'12:30.753',-0.09,0.31,11111111111000101000000
'12:30.756',-0.075,0.305,11111111111001110110000
'12:30.758',-0.07,0.255,11111111111010010000000
'12:30.761',-0.07,0.145,11111111111010010000000
'12:30.764',-0.065,0.01,11111111111010101010000
'12:30.767',0,-0.185,00000000000000000000000
'12:30.769',0.145,-0.38,00000000001011111000000
'12:30.772',0.335,-0.55,00000000011011011100000
'12:30.775',0.495,-0.7,00000000101000100010000
'12:30.778',0.655,-0.805,00000000110101101010000
'12:30.781',0.78,-0.815,00000000111111111000000
'12:30.783',0.87,-0.72,00000001000111010000000
'12:30.786',0.865,-0.595,00000001000110110110000
'12:30.789',0.695,-0.435,00000000111000111010000
'12:30.792',0.395,-0.3,00000000100000010110000
'12:30.794',0.135,-0.155,00000000001011000010000
'12:30.797',-0.03,-0.015,11111111111101100010000
'12:30.800',-0.11,0.105,11111111110110111110000
'12:30.803',-0.11,0.215,11111111110110111110000
'12:30.806',-0.085,0.255,11111111111001000010000
'12:30.808',-0.09,0.26,11111111111000101000000
'12:30.811',-0.095,0.245,11111111111000001100000
'12:30.814',-0.115,0.235,11111111110110100100000
'12:30.817',-0.14,0.235,11111111110100100000000
'12:30.819',-0.125,0.265,11111111110101110000000
'12:30.822',-0.115,0.27,11111111110110100100000
'12:30.825',-0.115,0.27,11111111110110100100000
'12:30.828',-0.125,0.245,11111111110101110000000
'12:30.831',-0.12,0.235,11111111110110001010000
'12:30.833',-0.125,0.255,11111111110101110000000
'12:30.836',-0.105,0.255,11111111110111011000000
'12:30.839',-0.11,0.28,11111111110110111110000
'12:30.842',-0.11,0.275,11111111110110111110000
'12:30.844',-0.12,0.255,11111111110110001010000
'12:30.847',-0.135,0.235,11111111110100111100000
'12:30.850',-0.145,0.25,11111111110100000110000
'12:30.853',-0.14,0.25,11111111110100100000000
'12:30.856',-0.14,0.26,11111111110100100000000
'12:30.858',-0.145,0.245,11111111110100000110000
'12:30.861',-0.14,0.25,11111111110100100000000
'12:30.864',-0.14,0.235,11111111110100100000000
'12:30.867',-0.14,0.25,11111111110100100000000
'12:30.869',-0.14,0.27,11111111110100100000000
'12:30.872',-0.125,0.285,11111111110101110000000
'12:30.875',-0.13,0.265,11111111110101010110000
'12:30.878',-0.14,0.255,11111111110100100000000
'12:30.881',-0.14,0.235,11111111110100100000000
'12:30.883',-0.145,0.25,11111111110100000110000
'12:30.886',-0.135,0.27,11111111110100111100000
'12:30.889',-0.125,0.28,11111111110101110000000
'12:30.892',-0.125,0.28,11111111110101110000000
'12:30.894',-0.14,0.26,11111111110100100000000
'12:30.897',-0.14,0.235,11111111110100100000000
'12:30.900',-0.14,0.25,11111111110100100000000
'12:30.903',-0.13,0.265,11111111110101010110000
'12:30.906',-0.11,0.27,11111111110110111110000
'12:30.908',-0.11,0.265,11111111110110111110000
'12:30.911',-0.135,0.26,11111111110100111100000
'12:30.914',-0.145,0.24,11111111110100000110000
'12:30.917',-0.16,0.245,11111111110010111000000
'12:30.919',-0.145,0.27,11111111110100000110000
'12:30.922',-0.13,0.275,11111111110101010110000
'12:30.925',-0.13,0.26,11111111110101010110000
'12:30.928',-0.155,0.24,11111111110011010010000
'12:30.931',-0.16,0.24,11111111110010111000000
'12:30.933',-0.16,0.245,11111111110010111000000
'12:30.936',-0.16,0.255,11111111110010111000000
'12:30.939',-0.145,0.275,11111111110100000110000
'12:30.942',-0.135,0.26,11111111110100111100000
'12:30.944',-0.135,0.24,11111111110100111100000
'12:30.947',-0.145,0.235,11111111110100000110000
'12:30.950',-0.165,0.23,11111111110010011110000
'12:30.953',-0.145,0.245,11111111110100000110000
'12:30.956',-0.15,0.275,11111111110011101100000
'12:30.958',-0.16,0.26,11111111110010111000000
'12:30.961',-0.155,0.245,11111111110011010010000
'12:30.964',-0.17,0.235,11111111110010000100000
'12:30.967',-0.175,0.24,11111111110001101010000
'12:30.969',-0.17,0.245,11111111110010000100000
'12:30.972',-0.165,0.26,11111111110010011110000
'12:30.975',-0.16,0.255,11111111110010111000000
'12:30.978',-0.16,0.24,11111111110010111000000
'12:30.981',-0.18,0.235,11111111110001010000000
'12:30.983',-0.175,0.24,11111111110001101010000
'12:30.986',-0.16,0.245,11111111110010111000000
'12:30.989',-0.155,0.255,11111111110011010010000
'12:30.992',-0.155,0.25,11111111110011010010000
'12:30.994',-0.155,0.24,11111111110011010010000
'12:30.997',-0.17,0.225,11111111110010000100000
'12:31.000',-0.175,0.235,11111111110001101010000
'12:31.003',-0.18,0.235,11111111110001010000000
'12:31.006',-0.155,0.255,11111111110011010010000
'12:31.008',-0.175,0.24,11111111110001101010000
'12:31.011',-0.175,0.215,11111111110001101010000
'12:31.014',-0.175,0.215,11111111110001101010000
'12:31.017',-0.175,0.205,11111111110001101010000
'12:31.019',-0.17,0.23,11111111110010000100000
'12:31.022',-0.155,0.27,11111111110011010010000
'12:31.025',-0.15,0.265,11111111110011101100000
'12:31.028',-0.145,0.25,11111111110100000110000
'12:31.031',-0.17,0.245,11111111110010000100000
'12:31.033',-0.135,0.255,11111111110100111100000
'12:31.036',-0.11,0.27,11111111110110111110000
'12:31.039',-0.1,0.285,11111111110111110010000
'12:31.042',-0.09,0.275,11111111111000101000000
'12:31.044',-0.115,0.245,11111111110110100100000
'12:31.047',-0.125,0.24,11111111110101110000000
'12:31.050',-0.135,0.24,11111111110100111100000
'12:31.053',-0.15,0.245,11111111110011101100000
'12:31.056',-0.165,0.27,11111111110010011110000
'12:31.058',-0.17,0.275,11111111110010000100000
'12:31.061',-0.185,0.265,11111111110000110110000
'12:31.064',-0.19,0.265,11111111110000011010000
'12:31.067',-0.19,0.275,11111111110000011010000
'12:31.069',-0.18,0.31,11111111110001010000000
'12:31.072',-0.155,0.335,11111111110011010010000
'12:31.075',-0.14,0.31,11111111110100100000000
'12:31.078',-0.155,0.265,11111111110011010010000
'12:31.081',-0.195,0.22,11111111110000000000000
'12:31.083',-0.225,0.205,11111111101101100100000
'12:31.086',-0.23,0.215,11111111101101001010000
'12:31.089',-0.225,0.205,11111111101101100100000
'12:31.092',-0.23,0.18,11111111101101001010000
'12:31.094',-0.245,0.18,11111111101011111010000
'12:31.097',-0.25,0.15,11111111101011100000000
'12:31.100',-0.265,0.165,11111111101010010010000
'12:31.103',-0.26,0.16,11111111101010101100000
'12:31.106',-0.24,0.175,11111111101100010100000
'12:31.108',-0.23,0.18,11111111101101001010000
'12:31.111',-0.235,0.155,11111111101100101110000
'12:31.114',-0.245,0.14,11111111101011111010000
'12:31.117',-0.245,0.135,11111111101011111010000
'12:31.119',-0.24,0.155,11111111101100010100000
'12:31.122',-0.235,0.17,11111111101100101110000
'12:31.125',-0.215,0.175,11111111101110011000000
'12:31.128',-0.22,0.155,11111111101101111110000
'12:31.131',-0.23,0.14,11111111101101001010000
'12:31.133',-0.225,0.155,11111111101101100100000
'12:31.136',-0.21,0.17,11111111101110110010000
'12:31.139',-0.195,0.17,11111111110000000000000
'12:31.142',-0.19,0.19,11111111110000011010000
'12:31.144',-0.19,0.175,11111111110000011010000
'12:31.147',-0.205,0.155,11111111101111001100000
'12:31.150',-0.205,0.16,11111111101111001100000
'12:31.153',-0.19,0.175,11111111110000011010000
'12:31.156',-0.18,0.185,11111111110001010000000
'12:31.158',-0.175,0.17,11111111110001101010000
'12:31.161',-0.18,0.16,11111111110001010000000
'12:31.164',-0.205,0.145,11111111101111001100000
'12:31.167',-0.185,0.17,11111111110000110110000
'12:31.169',-0.17,0.18,11111111110010000100000
'12:31.172',-0.17,0.19,11111111110010000100000
'12:31.175',-0.16,0.18,11111111110010111000000
'12:31.178',-0.16,0.17,11111111110010111000000
'12:31.181',-0.16,0.16,11111111110010111000000
'12:31.183',-0.165,0.16,11111111110010011110000
'12:31.186',-0.155,0.19,11111111110011010010000
'12:31.189',-0.135,0.225,11111111110100111100000
'12:31.192',-0.15,0.24,11111111110011101100000
'12:31.194',-0.185,0.215,11111111110000110110000
'12:31.197',-0.24,0.155,11111111101100010100000
'12:31.200',-0.27,0.06,11111111101001111000000
'12:31.203',-0.25,-0.065,11111111101011100000000
'12:31.206',-0.135,-0.215,11111111110100111100000
'12:31.208',0,-0.375,00000000000000000000000
'12:31.211',0.14,-0.54,00000000001011011110000
'12:31.214',0.315,-0.66,00000000011001110010000
'12:31.217',0.565,-0.675,00000000101110010010000
'12:31.219',0.795,-0.585,00000001000001001000000
'12:31.222',0.895,-0.45,00000001001001010100000
'12:31.225',0.8,-0.325,00000001000001100010000
'12:31.228',0.515,-0.18,00000000101010001100000
'12:31.231',0.21,-0.02,00000000010001001100000
'12:31.233',0.02,0.155,00000000000001101000000
'12:31.236',-0.025,0.245,11111111111101111100000
'12:31.239',-0.02,0.29,11111111111110010110000
'12:31.242',-0.01,0.275,11111111111111001010000
'12:31.244',-0.045,0.255,11111111111100010100000
'12:31.247',-0.09,0.235,11111111111000101000000
'12:31.250',-0.12,0.24,11111111110110001010000
'12:31.253',-0.115,0.25,11111111110110100100000
'12:31.256',-0.125,0.255,11111111110101110000000
'12:31.258',-0.12,0.25,11111111110110001010000
'12:31.261',-0.135,0.225,11111111110100111100000
'12:31.264',-0.16,0.22,11111111110010111000000
'12:31.267',-0.175,0.215,11111111110001101010000
'12:31.269',-0.16,0.23,11111111110010111000000
'12:31.272',-0.16,0.245,11111111110010111000000
'12:31.275',-0.155,0.23,11111111110011010010000
'12:31.278',-0.155,0.225,11111111110011010010000
'12:31.281',-0.165,0.205,11111111110010011110000
'12:31.283',-0.165,0.21,11111111110010011110000
'12:31.286',-0.17,0.215,11111111110010000100000
'12:31.289',-0.155,0.225,11111111110011010010000
'12:31.292',-0.16,0.21,11111111110010111000000
'12:31.294',-0.18,0.215,11111111110001010000000
'12:31.297',-0.185,0.21,11111111110000110110000
'12:31.300',-0.18,0.21,11111111110001010000000
'12:31.303',-0.175,0.225,11111111110001101010000
'12:31.306',-0.185,0.235,11111111110000110110000
'12:31.308',-0.165,0.22,11111111110010011110000
'12:31.311',-0.175,0.22,11111111110001101010000
'12:31.314',-0.185,0.22,11111111110000110110000
'12:31.317',-0.195,0.22,11111111110000000000000
'12:31.319',-0.18,0.225,11111111110001010000000
'12:31.322',-0.16,0.24,11111111110010111000000
'12:31.325',-0.17,0.225,11111111110010000100000
'12:31.328',-0.19,0.215,11111111110000011010000
'12:31.331',-0.205,0.21,11111111101111001100000
'12:31.333',-0.2,0.215,11111111101111100110000
'12:31.336',-0.195,0.23,11111111110000000000000
'12:31.339',-0.19,0.245,11111111110000011010000
'12:31.342',-0.2,0.23,11111111101111100110000
'12:31.344',-0.205,0.21,11111111101111001100000
'12:31.347',-0.215,0.2,11111111101110011000000
'12:31.350',-0.21,0.215,11111111101110110010000
'12:31.353',-0.21,0.235,11111111101110110010000
'12:31.356',-0.205,0.25,11111111101111001100000
'12:31.358',-0.19,0.24,11111111110000011010000
'12:31.361',-0.195,0.225,11111111110000000000000
'12:31.364',-0.215,0.215,11111111101110011000000
'12:31.367',-0.22,0.225,11111111101101111110000
'12:31.369',-0.22,0.24,11111111101101111110000
'12:31.372',-0.2,0.255,11111111101111100110000
'12:31.375',-0.2,0.23,11111111101111100110000
'12:31.378',-0.22,0.23,11111111101101111110000
'12:31.381',-0.225,0.205,11111111101101100100000
'12:31.383',-0.235,0.215,11111111101100101110000
'12:31.386',-0.215,0.23,11111111101110011000000
'12:31.389',-0.21,0.235,11111111101110110010000
'12:31.392',-0.21,0.225,11111111101110110010000
'12:31.394',-0.215,0.22,11111111101110011000000
'12:31.397',-0.24,0.22,11111111101100010100000
'12:31.400',-0.24,0.215,11111111101100010100000
'12:31.403',-0.23,0.24,11111111101101001010000
'12:31.406',-0.215,0.235,11111111101110011000000
'12:31.408',-0.195,0.235,11111111110000000000000
'12:31.411',-0.215,0.215,11111111101110011000000
'12:31.414',-0.235,0.195,11111111101100101110000
'12:31.417',-0.26,0.2,11111111101010101100000
'12:31.419',-0.255,0.215,11111111101011000110000
'12:31.422',-0.245,0.22,11111111101011111010000
'12:31.425',-0.255,0.225,11111111101011000110000
'12:31.428',-0.26,0.205,11111111101010101100000
'12:31.431',-0.28,0.19,11111111101001000010000
'12:31.433',-0.295,0.2,11111111100111110100000
'12:31.436',-0.295,0.215,11111111100111110100000
'12:31.439',-0.27,0.23,11111111101001111000000
'12:31.442',-0.275,0.22,11111111101001011110000
'12:31.444',-0.285,0.21,11111111101000101000000
'12:31.447',-0.3,0.195,11111111100111011010000
'12:31.450',-0.3,0.2,11111111100111011010000
'12:31.453',-0.3,0.21,11111111100111011010000
'12:31.456',-0.28,0.23,11111111101001000010000
'12:31.458',-0.255,0.21,11111111101011000110000
'12:31.461',-0.255,0.205,11111111101011000110000
'12:31.464',-0.275,0.185,11111111101001011110000
'12:31.467',-0.26,0.195,11111111101010101100000
'12:31.469',-0.26,0.2,11111111101010101100000
'12:31.472',-0.24,0.21,11111111101100010100000
'12:31.475',-0.24,0.205,11111111101100010100000
'12:31.478',-0.23,0.185,11111111101101001010000
'12:31.481',-0.23,0.18,11111111101101001010000
'12:31.483',-0.22,0.19,11111111101101111110000
'12:31.486',-0.215,0.2,11111111101110011000000
'12:31.489',-0.195,0.21,11111111110000000000000
'12:31.492',-0.17,0.195,11111111110010000100000
'12:31.494',-0.18,0.175,11111111110001010000000
'12:31.497',-0.195,0.155,11111111110000000000000
'12:31.500',-0.215,0.155,11111111101110011000000
'12:31.503',-0.2,0.175,11111111101111100110000
'12:31.506',-0.19,0.185,11111111110000011010000
'12:31.508',-0.175,0.18,11111111110001101010000
'12:31.511',-0.185,0.17,11111111110000110110000
'12:31.514',-0.185,0.145,11111111110000110110000
'12:31.517',-0.175,0.15,11111111110001101010000
'12:31.519',-0.17,0.17,11111111110010000100000
'12:31.522',-0.15,0.18,11111111110011101100000
'12:31.525',-0.14,0.175,11111111110100100000000
'12:31.528',-0.165,0.175,11111111110010011110000
'12:31.531',-0.19,0.15,11111111110000011010000
'12:31.533',-0.16,0.17,11111111110010111000000
'12:31.536',-0.17,0.17,11111111110010000100000
'12:31.539',-0.165,0.17,11111111110010011110000
'12:31.542',-0.165,0.165,11111111110010011110000
'12:31.544',-0.165,0.145,11111111110010011110000
'12:31.547',-0.17,0.145,11111111110010000100000
