'Elapsed time','MLII','V1',
'13:20.178',-0.36,0.125,11111111100010100000000
'13:20.181',-0.325,0.195,11111111100101011000000
'13:20.183',-0.265,0.175,11111111101010010010000
'13:20.186',-0.21,0.12,11111111101110110010000
'13:20.189',-0.2,0.05,11111111101111100110000
'13:20.192',-0.19,0.04,11111111110000011010000
'13:20.194',-0.19,0.08,11111111110000011010000
'13:20.197',-0.205,0.145,11111111101111001100000
'13:20.200',-0.205,0.19,11111111101111001100000
'13:20.203',-0.205,0.22,11111111101111001100000
'13:20.206',-0.175,0.23,11111111110001101010000
'13:20.208',-0.165,0.23,11111111110010011110000
'13:20.211',-0.155,0.205,11111111110011010010000
'13:20.214',-0.15,0.15,11111111110011101100000
'13:20.217',-0.14,0.095,11111111110100100000000
'13:20.219',-0.135,0.06,11111111110100111100000
'13:20.222',-0.13,0.03,11111111110101010110000
'13:20.225',-0.135,0.045,11111111110100111100000
'13:20.228',-0.135,0.075,11111111110100111100000
'13:20.231',-0.12,0.125,11111111110110001010000
'13:20.233',-0.11,0.165,11111111110110111110000
'13:20.236',-0.115,0.155,11111111110110100100000
'13:20.239',-0.155,0.125,11111111110011010010000
'13:20.242',-0.135,0.11,11111111110100111100000
'13:20.244',-0.135,0.1,11111111110100111100000
'13:20.247',-0.115,0.105,11111111110110100100000
'13:20.250',-0.105,0.12,11111111110111011000000
'13:20.253',-0.115,0.125,11111111110110100100000
'13:20.256',-0.12,0.12,11111111110110001010000
'13:20.258',-0.13,0.13,11111111110101010110000
'13:20.261',-0.125,0.15,11111111110101110000000
'13:20.264',-0.095,0.175,11111111111000001100000
'13:20.267',-0.095,0.165,11111111111000001100000
'13:20.269',-0.105,0.155,11111111110111011000000
'13:20.272',-0.115,0.145,11111111110110100100000
'13:20.275',-0.11,0.18,11111111110110111110000
'13:20.278',-0.095,0.22,11111111111000001100000
'13:20.281',-0.09,0.22,11111111111000101000000
'13:20.283',-0.08,0.165,11111111111001011100000
'13:20.286',-0.095,0.115,11111111111000001100000
'13:20.289',-0.095,0.095,11111111111000001100000
'13:20.292',-0.085,0.12,11111111111001000010000
'13:20.294',-0.075,0.15,11111111111001110110000
'13:20.297',-0.075,0.215,11111111111001110110000
'13:20.300',-0.06,0.24,11111111111011000100000
'13:20.303',-0.075,0.2,11111111111001110110000
'13:20.306',-0.085,0.125,11111111111001000010000
'13:20.308',-0.105,0.065,11111111110111011000000
'13:20.311',-0.09,0.09,11111111111000101000000
'13:20.314',-0.085,0.145,11111111111001000010000
'13:20.317',-0.065,0.175,11111111111010101010000
'13:20.319',-0.06,0.175,11111111111011000100000
'13:20.322',-0.05,0.16,11111111111011111000000
'13:20.325',-0.06,0.205,11111111111011000100000
'13:20.328',-0.05,0.245,11111111111011111000000
'13:20.331',-0.06,0.27,11111111111011000100000
'13:20.333',-0.065,0.225,11111111111010101010000
'13:20.336',-0.055,0.16,11111111111011011110000
'13:20.339',-0.055,0.13,11111111111011011110000
'13:20.342',-0.055,0.135,11111111111011011110000
'13:20.344',-0.065,0.165,11111111111010101010000
'13:20.347',-0.055,0.185,11111111111011011110000
'13:20.350',-0.05,0.19,11111111111011111000000
'13:20.353',-0.055,0.185,11111111111011011110000
'13:20.356',-0.07,0.18,11111111111010010000000
'13:20.358',-0.075,0.17,11111111111001110110000
'13:20.361',-0.055,0.165,11111111111011011110000
'13:20.364',-0.05,0.19,11111111111011111000000
'13:20.367',-0.06,0.215,11111111111011000100000
'13:20.369',-0.08,0.21,11111111111001011100000
'13:20.372',-0.085,0.22,11111111111001000010000
'13:20.375',-0.09,0.22,11111111111000101000000
'13:20.378',-0.1,0.22,11111111110111110010000
'13:20.381',-0.085,0.215,11111111111001000010000
'13:20.383',-0.1,0.2,11111111110111110010000
'13:20.386',-0.115,0.18,11111111110110100100000
'13:20.389',-0.115,0.16,11111111110110100100000
'13:20.392',-0.135,0.16,11111111110100111100000
'13:20.394',-0.125,0.18,11111111110101110000000
'13:20.397',-0.105,0.185,11111111110111011000000
'13:20.400',-0.11,0.19,11111111110110111110000
'13:20.403',-0.13,0.175,11111111110101010110000
'13:20.406',-0.15,0.155,11111111110011101100000
'13:20.408',-0.16,0.145,11111111110010111000000
'13:20.411',-0.165,0.145,11111111110010011110000
'13:20.414',-0.16,0.15,11111111110010111000000
'13:20.417',-0.15,0.155,11111111110011101100000
'13:20.419',-0.18,0.165,11111111110001010000000
'13:20.422',-0.2,0.185,11111111101111100110000
'13:20.425',-0.225,0.2,11111111101101100100000
'13:20.428',-0.215,0.205,11111111101110011000000
'13:20.431',-0.205,0.215,11111111101111001100000
'13:20.433',-0.195,0.145,11111111110000000000000
'13:20.436',-0.205,0.11,11111111101111001100000
'13:20.439',-0.23,0.1,11111111101101001010000
'13:20.442',-0.24,0.11,11111111101100010100000
'13:20.444',-0.235,0.155,11111111101100101110000
'13:20.447',-0.23,0.19,11111111101101001010000
'13:20.450',-0.215,0.19,11111111101110011000000
'13:20.453',-0.22,0.17,11111111101101111110000
'13:20.456',-0.22,0.125,11111111101101111110000
'13:20.458',-0.23,0.1,11111111101101001010000
'13:20.461',-0.23,0.105,11111111101101001010000
'13:20.464',-0.215,0.14,11111111101110011000000
'13:20.467',-0.205,0.165,11111111101111001100000
'13:20.469',-0.215,0.19,11111111101110011000000
'13:20.472',-0.22,0.17,11111111101101111110000
'13:20.475',-0.23,0.165,11111111101101001010000
'13:20.478',-0.23,0.155,11111111101101001010000
'13:20.481',-0.215,0.155,11111111101110011000000
'13:20.483',-0.2,0.14,11111111101111100110000
'13:20.486',-0.2,0.11,11111111101111100110000
'13:20.489',-0.205,0.08,11111111101111001100000
'13:20.492',-0.225,0.05,11111111101101100100000
'13:20.494',-0.21,0.06,11111111101110110010000
'13:20.497',-0.195,0.105,11111111110000000000000
'13:20.500',-0.17,0.15,11111111110010000100000
'13:20.503',-0.17,0.19,11111111110010000100000
'13:20.506',-0.19,0.195,11111111110000011010000
'13:20.508',-0.185,0.155,11111111110000110110000
'13:20.511',-0.175,0.115,11111111110001101010000
'13:20.514',-0.175,0.11,11111111110001101010000
'13:20.517',-0.135,0.14,11111111110100111100000
'13:20.519',-0.145,0.165,11111111110100000110000
'13:20.522',-0.155,0.135,11111111110011010010000
'13:20.525',-0.16,0.09,11111111110010111000000
'13:20.528',-0.15,0.07,11111111110011101100000
'13:20.531',-0.135,0.1,11111111110100111100000
'13:20.533',-0.105,0.12,11111111110111011000000
'13:20.536',-0.11,0.145,11111111110110111110000
'13:20.539',-0.125,0.15,11111111110101110000000
'13:20.542',-0.135,0.13,11111111110100111100000
'13:20.544',-0.115,0.09,11111111110110100100000
'13:20.547',-0.105,0.04,11111111110111011000000
'13:20.550',-0.09,0.01,11111111111000101000000
'13:20.553',-0.095,0.025,11111111111000001100000
'13:20.556',-0.115,0.075,11111111110110100100000
'13:20.558',-0.115,0.085,11111111110110100100000
'13:20.561',-0.09,0.095,11111111111000101000000
'13:20.564',-0.095,0.09,11111111111000001100000
'13:20.567',-0.085,0.075,11111111111001000010000
'13:20.569',-0.09,0.07,11111111111000101000000
'13:20.572',-0.105,0.06,11111111110111011000000
'13:20.575',-0.115,0.075,11111111110110100100000
'13:20.578',-0.105,0.095,11111111110111011000000
'13:20.581',-0.095,0.12,11111111111000001100000
'13:20.583',-0.09,0.125,11111111111000101000000
'13:20.586',-0.1,0.105,11111111110111110010000
'13:20.589',-0.11,0.125,11111111110110111110000
'13:20.592',-0.12,0.165,11111111110110001010000
'13:20.594',-0.1,0.21,11111111110111110010000
'13:20.597',-0.085,0.195,11111111111001000010000
'13:20.600',-0.095,0.115,11111111111000001100000
'13:20.603',-0.11,0.015,11111111110110111110000
'13:20.606',-0.13,-0.03,11111111110101010110000
'13:20.608',-0.125,-0.005,11111111110101110000000
'13:20.611',-0.11,0.075,11111111110110111110000
'13:20.614',-0.09,0.155,11111111111000101000000
'13:20.617',-0.075,0.17,11111111111001110110000
'13:20.619',-0.1,0.145,11111111110111110010000
'13:20.622',-0.1,0.11,11111111110111110010000
'13:20.625',-0.125,0.07,11111111110101110000000
'13:20.628',-0.115,0.065,11111111110110100100000
'13:20.631',-0.105,0.08,11111111110111011000000
'13:20.633',-0.095,0.11,11111111111000001100000
'13:20.636',-0.12,0.16,11111111110110001010000
'13:20.639',-0.11,0.185,11111111110110111110000
'13:20.642',-0.13,0.17,11111111110101010110000
'13:20.644',-0.105,0.1,11111111110111011000000
'13:20.647',-0.1,0.05,11111111110111110010000
'13:20.650',-0.085,0.03,11111111111001000010000
'13:20.653',-0.105,0.045,11111111110111011000000
'13:20.656',-0.11,0.06,11111111110110111110000
'13:20.658',-0.125,0.04,11111111110101110000000
'13:20.661',-0.1,0.025,11111111110111110010000
'13:20.664',-0.085,0.055,11111111111001000010000
'13:20.667',-0.075,0.07,11111111111001110110000
'13:20.669',-0.08,0.1,11111111111001011100000
'13:20.672',-0.095,0.095,11111111111000001100000
'13:20.675',-0.12,0.09,11111111110110001010000
'13:20.678',-0.125,0.085,11111111110101110000000
'13:20.681',-0.11,0.065,11111111110110111110000
'13:20.683',-0.1,0.075,11111111110111110010000
'13:20.686',-0.1,0.07,11111111110111110010000
'13:20.689',-0.11,0.095,11111111110110111110000
'13:20.692',-0.12,0.095,11111111110110001010000
'13:20.694',-0.105,0.105,11111111110111011000000
'13:20.697',-0.115,0.13,11111111110110100100000
'13:20.700',-0.115,0.13,11111111110110100100000
'13:20.703',-0.13,0.13,11111111110101010110000
'13:20.706',-0.115,0.135,11111111110110100100000
'13:20.708',-0.11,0.115,11111111110110111110000
'13:20.711',-0.095,0.1,11111111111000001100000
'13:20.714',-0.1,0.075,11111111110111110010000
'13:20.717',-0.095,0.05,11111111111000001100000
'13:20.719',-0.1,0.05,11111111110111110010000
'13:20.722',-0.105,0.075,11111111110111011000000
'13:20.725',-0.11,0.135,11111111110110111110000
'13:20.728',-0.1,0.14,11111111110111110010000
'13:20.731',-0.09,0.095,11111111111000101000000
'13:20.733',-0.09,0.05,11111111111000101000000
'13:20.736',-0.125,0.005,11111111110101110000000
'13:20.739',-0.125,-0.005,11111111110101110000000
'13:20.742',-0.125,0,11111111110101110000000
'13:20.744',-0.115,0.02,11111111110110100100000
'13:20.747',-0.1,0.03,11111111110111110010000
'13:20.750',-0.095,0.06,11111111111000001100000
'13:20.753',-0.095,0.08,11111111111000001100000
'13:20.756',-0.105,0.08,11111111110111011000000
'13:20.758',-0.125,0.055,11111111110101110000000
'13:20.761',-0.125,0.05,11111111110101110000000
'13:20.764',-0.1,0.065,11111111110111110010000
'13:20.767',-0.09,0.105,11111111111000101000000
'13:20.769',-0.09,0.145,11111111111000101000000
'13:20.772',-0.1,0.13,11111111110111110010000
'13:20.775',-0.11,0.075,11111111110110111110000
'13:20.778',-0.1,0.015,11111111110111110010000
'13:20.781',-0.105,0.005,11111111110111011000000
'13:20.783',-0.1,-0.005,11111111110111110010000
'13:20.786',-0.11,0.02,11111111110110111110000
'13:20.789',-0.13,0.045,11111111110101010110000
'13:20.792',-0.125,0.055,11111111110101110000000
'13:20.794',-0.11,0.065,11111111110110111110000
'13:20.797',-0.1,0.075,11111111110111110010000
'13:20.800',-0.105,0.07,11111111110111011000000
'13:20.803',-0.115,0.065,11111111110110100100000
'13:20.806',-0.105,0.04,11111111110111011000000
'13:20.808',-0.115,0.03,11111111110110100100000
'13:20.811',-0.11,0.045,11111111110110111110000
'13:20.814',-0.11,0.055,11111111110110111110000
'13:20.817',-0.115,0.065,11111111110110100100000
'13:20.819',-0.105,0.045,11111111110111011000000
'13:20.822',-0.13,0.045,11111111110101010110000
'13:20.825',-0.13,0.065,11111111110101010110000
'13:20.828',-0.115,0.1,11111111110110100100000
'13:20.831',-0.11,0.12,11111111110110111110000
'13:20.833',-0.1,0.11,11111111110111110010000
'13:20.836',-0.105,0.07,11111111110111011000000
'13:20.839',-0.115,0.025,11111111110110100100000
'13:20.842',-0.135,0.005,11111111110100111100000
'13:20.844',-0.12,0.04,11111111110110001010000
'13:20.847',-0.09,0.075,11111111111000101000000
'13:20.850',-0.105,0.085,11111111110111011000000
'13:20.853',-0.11,0.065,11111111110110111110000
'13:20.856',-0.13,0.025,11111111110101010110000
'13:20.858',-0.13,0.045,11111111110101010110000
'13:20.861',-0.125,0.08,11111111110101110000000
'13:20.864',-0.105,0.085,11111111110111011000000
'13:20.867',-0.095,0.045,11111111111000001100000
'13:20.869',-0.115,-0.015,11111111110110100100000
'13:20.872',-0.125,-0.04,11111111110101110000000
'13:20.875',-0.14,-0.015,11111111110100100000000
'13:20.878',-0.13,0.05,11111111110101010110000
'13:20.881',-0.12,0.115,11111111110110001010000
'13:20.883',-0.11,0.13,11111111110110111110000
'13:20.886',-0.12,0.11,11111111110110001010000
'13:20.889',-0.12,0.075,11111111110110001010000
'13:20.892',-0.14,0.06,11111111110100100000000
'13:20.894',-0.13,0.06,11111111110101010110000
'13:20.897',-0.11,0.08,11111111110110111110000
'13:20.900',-0.105,0.045,11111111110111011000000
'13:20.903',-0.11,-0.015,11111111110110111110000
'13:20.906',-0.14,-0.06,11111111110100100000000
'13:20.908',-0.13,-0.055,11111111110101010110000
'13:20.911',-0.125,0,11111111110101110000000
'13:20.914',-0.11,0.035,11111111110110111110000
'13:20.917',-0.12,0.05,11111111110110001010000
'13:20.919',-0.11,0.055,11111111110110111110000
'13:20.922',-0.125,0.055,11111111110101110000000
'13:20.925',-0.115,0.055,11111111110110100100000
'13:20.928',-0.11,0.05,11111111110110111110000
'13:20.931',-0.12,0.05,11111111110110001010000
'13:20.933',-0.095,0.03,11111111111000001100000
'13:20.936',-0.12,0.045,11111111110110001010000
'13:20.939',-0.125,0.06,11111111110101110000000
'13:20.942',-0.135,0.105,11111111110100111100000
'13:20.944',-0.135,0.105,11111111110100111100000
'13:20.947',-0.12,0.07,11111111110110001010000
'13:20.950',-0.115,0.01,11111111110110100100000
'13:20.953',-0.125,-0.015,11111111110101110000000
'13:20.956',-0.135,-0.02,11111111110100111100000
'13:20.958',-0.135,-0.01,11111111110100111100000
'13:20.961',-0.125,-0.005,11111111110101110000000
'13:20.964',-0.115,0.03,11111111110110100100000
'13:20.967',-0.09,0.08,11111111111000101000000
'13:20.969',-0.1,0.105,11111111110111110010000
'13:20.972',-0.125,0.115,11111111110101110000000
'13:20.975',-0.14,0.1,11111111110100100000000
'13:20.978',-0.15,0.085,11111111110011101100000
'13:20.981',-0.135,0.07,11111111110100111100000
'13:20.983',-0.125,0.065,11111111110101110000000
'13:20.986',-0.115,0.075,11111111110110100100000
'13:20.989',-0.13,0.05,11111111110101010110000
'13:20.992',-0.14,0.015,11111111110100100000000
'13:20.994',-0.145,-0.035,11111111110100000110000
'13:20.997',-0.125,-0.01,11111111110101110000000
'13:21.000',-0.12,0.03,11111111110110001010000
'13:21.003',-0.13,0.045,11111111110101010110000
'13:21.006',-0.135,0.06,11111111110100111100000
'13:21.008',-0.14,0.065,11111111110100100000000
'13:21.011',-0.12,0.055,11111111110110001010000
'13:21.014',-0.11,0.08,11111111110110111110000
'13:21.017',-0.115,0.04,11111111110110100100000
'13:21.019',-0.11,0.015,11111111110110111110000
'13:21.022',-0.115,0.005,11111111110110100100000
'13:21.025',-0.12,0.02,11111111110110001010000
'13:21.028',-0.12,0.065,11111111110110001010000
'13:21.031',-0.13,0.1,11111111110101010110000
'13:21.033',-0.125,0.085,11111111110101110000000
'13:21.036',-0.13,0.04,11111111110101010110000
'13:21.039',-0.155,0.01,11111111110011010010000
'13:21.042',-0.145,0.025,11111111110100000110000
'13:21.044',-0.14,0.055,11111111110100100000000
'13:21.047',-0.11,0.095,11111111110110111110000
'13:21.050',-0.11,0.06,11111111110110111110000
'13:21.053',-0.12,0,11111111110110001010000
'13:21.056',-0.135,-0.04,11111111110100111100000
'13:21.058',-0.155,0.01,11111111110011010010000
'13:21.061',-0.135,0.08,11111111110100111100000
'13:21.064',-0.135,0.145,11111111110100111100000
'13:21.067',-0.11,0.095,11111111110110111110000
'13:21.069',-0.125,0.005,11111111110101110000000
'13:21.072',-0.15,-0.085,11111111110011101100000
'13:21.075',-0.15,-0.095,11111111110011101100000
'13:21.078',-0.13,-0.06,11111111110101010110000
'13:21.081',-0.125,0.015,11111111110101110000000
'13:21.083',-0.1,0.05,11111111110111110010000
'13:21.086',-0.115,0.07,11111111110110100100000
'13:21.089',-0.145,0.1,11111111110100000110000
'13:21.092',-0.16,0.08,11111111110010111000000
'13:21.094',-0.14,0.025,11111111110100100000000
'13:21.097',-0.135,-0.005,11111111110100111100000
'13:21.100',-0.11,-0.02,11111111110110111110000
'13:21.103',-0.14,-0.005,11111111110100100000000
'13:21.106',-0.145,0.025,11111111110100000110000
'13:21.108',-0.13,0.065,11111111110101010110000
'13:21.111',-0.115,0.125,11111111110110100100000
'13:21.114',-0.105,0.135,11111111110111011000000
'13:21.117',-0.1,0.115,11111111110111110010000
'13:21.119',-0.095,0.07,11111111111000001100000
'13:21.122',-0.125,0.07,11111111110101110000000
'13:21.125',-0.145,0.09,11111111110100000110000
'13:21.128',-0.145,0.09,11111111110100000110000
'13:21.131',-0.145,0.085,11111111110100000110000
'13:21.133',-0.14,0.065,11111111110100100000000
'13:21.136',-0.155,0.055,11111111110011010010000
'13:21.139',-0.155,0.03,11111111110011010010000
'13:21.142',-0.16,-0.015,11111111110010111000000
'13:21.144',-0.145,-0.055,11111111110100000110000
'13:21.147',-0.125,-0.035,11111111110101110000000
'13:21.150',-0.11,-0.01,11111111110110111110000
'13:21.153',-0.11,0.02,11111111110110111110000
'13:21.156',-0.155,0.005,11111111110011010010000
'13:21.158',-0.185,-0.025,11111111110000110110000
'13:21.161',-0.16,-0.025,11111111110010111000000
'13:21.164',-0.14,-0.015,11111111110100100000000
'13:21.167',-0.125,-0.015,11111111110101110000000
'13:21.169',-0.155,0.005,11111111110011010010000
'13:21.172',-0.165,0.005,11111111110010011110000
'13:21.175',-0.17,0.035,11111111110010000100000
'13:21.178',-0.155,0.055,11111111110011010010000
'13:21.181',-0.15,0.065,11111111110011101100000
'13:21.183',-0.135,0.06,11111111110100111100000
'13:21.186',-0.13,0.05,11111111110101010110000
'13:21.189',-0.14,0.04,11111111110100100000000
'13:21.192',-0.14,0.015,11111111110100100000000
'13:21.194',-0.135,-0.01,11111111110100111100000
'13:21.197',-0.11,-0.01,11111111110110111110000
'13:21.200',-0.115,-0.005,11111111110110100100000
'13:21.203',-0.115,0.035,11111111110110100100000
'13:21.206',-0.14,0.07,11111111110100100000000
'13:21.208',-0.145,0.065,11111111110100000110000
'13:21.211',-0.155,0.06,11111111110011010010000
'13:21.214',-0.145,0.06,11111111110100000110000
'13:21.217',-0.145,0.005,11111111110100000110000
'13:21.219',-0.16,-0.035,11111111110010111000000
'13:21.222',-0.17,-0.06,11111111110010000100000
'13:21.225',-0.18,-0.01,11111111110001010000000
'13:21.228',-0.16,0.065,11111111110010111000000
'13:21.231',-0.145,0.11,11111111110100000110000
'13:21.233',-0.14,0.09,11111111110100100000000
'13:21.236',-0.16,0.035,11111111110010111000000
'13:21.239',-0.17,-0.005,11111111110010000100000
'13:21.242',-0.175,-0.015,11111111110001101010000
'13:21.244',-0.16,0.02,11111111110010111000000
'13:21.247',-0.15,0.055,11111111110011101100000
'13:21.250',-0.13,0.085,11111111110101010110000
'13:21.253',-0.14,0.095,11111111110100100000000
'13:21.256',-0.175,0.055,11111111110001101010000
'13:21.258',-0.17,0.005,11111111110010000100000
'13:21.261',-0.175,-0.05,11111111110001101010000
'13:21.264',-0.15,-0.055,11111111110011101100000
'13:21.267',-0.125,-0.015,11111111110101110000000
'13:21.269',-0.125,0.025,11111111110101110000000
'13:21.272',-0.125,0.015,11111111110101110000000
'13:21.275',-0.135,-0.055,11111111110100111100000
'13:21.278',-0.1,-0.115,11111111110111110010000
'13:21.281',-0.095,-0.125,11111111111000001100000
'13:21.283',-0.08,-0.125,11111111111001011100000
'13:21.286',-0.07,-0.075,11111111111010010000000
'13:21.289',-0.08,-0.07,11111111111001011100000
'13:21.292',-0.08,-0.05,11111111111001011100000
'13:21.294',-0.07,-0.01,11111111111010010000000
'13:21.297',-0.045,0.045,11111111111100010100000
'13:21.300',-0.045,0.05,11111111111100010100000
'13:21.303',-0.06,0.06,11111111111011000100000
'13:21.306',-0.065,0.025,11111111111010101010000
'13:21.308',-0.1,-0.02,11111111110111110010000
'13:21.311',-0.11,-0.05,11111111110110111110000
'13:21.314',-0.13,-0.04,11111111110101010110000
'13:21.317',-0.135,-0.005,11111111110100111100000
'13:21.319',-0.135,0.045,11111111110100111100000
'13:21.322',-0.14,0.055,11111111110100100000000
'13:21.325',-0.15,0.025,11111111110011101100000
'13:21.328',-0.14,0.025,11111111110100100000000
'13:21.331',-0.145,0.025,11111111110100000110000
'13:21.333',-0.175,0.015,11111111110001101010000
'13:21.336',-0.185,0.025,11111111110000110110000
'13:21.339',-0.225,0.02,11111111101101100100000
'13:21.342',-0.245,0.03,11111111101011111010000
'13:21.344',-0.225,0.05,11111111101101100100000
'13:21.347',-0.215,0.055,11111111101110011000000
'13:21.350',-0.21,0.04,11111111101110110010000
'13:21.353',-0.2,0.01,11111111101111100110000
'13:21.356',-0.235,0,11111111101100101110000
'13:21.358',-0.225,0.005,11111111101101100100000
'13:21.361',-0.225,-0.005,11111111101101100100000
'13:21.364',-0.215,-0.01,11111111101110011000000
'13:21.367',-0.2,-0.04,11111111101111100110000
'13:21.369',-0.2,-0.055,11111111101111100110000
'13:21.372',-0.215,-0.04,11111111101110011000000
'13:21.375',-0.22,0.005,11111111101101111110000
'13:21.378',-0.22,0,11111111101101111110000
'13:21.381',-0.215,0.025,11111111101110011000000
'13:21.383',-0.205,0.03,11111111101111001100000
'13:21.386',-0.205,0.06,11111111101111001100000
'13:21.389',-0.2,0.105,11111111101111100110000
'13:21.392',-0.19,0.14,11111111110000011010000
'13:21.394',-0.185,0.165,11111111110000110110000
'13:21.397',-0.17,0.135,11111111110010000100000
'13:21.400',-0.175,0.065,11111111110001101010000
'13:21.403',-0.2,-0.03,11111111101111100110000
'13:21.406',-0.24,-0.16,11111111101100010100000
'13:21.408',-0.275,-0.28,11111111101001011110000
'13:21.411',-0.265,-0.425,11111111101010010010000
'13:21.414',-0.19,-0.525,11111111110000011010000
'13:21.417',-0.07,-0.635,11111111111010010000000
'13:21.419',0.105,-0.7,00000000001000100110000
'13:21.422',0.275,-0.72,00000000010110100000000
'13:21.425',0.42,-0.665,00000000100010011010000
'13:21.428',0.525,-0.565,00000000101011000000000
'13:21.431',0.53,-0.435,00000000101011011010000
'13:21.433',0.365,-0.32,00000000011101111000000
'13:21.436',0.055,-0.255,00000000000100100000000
'13:21.439',-0.28,-0.22,11111111101001000010000
'13:21.442',-0.475,-0.13,11111111011001000100000
'13:21.444',-0.505,-0.005,11111111010110101000000
'13:21.447',-0.44,0.11,11111111011011111100000
'13:21.450',-0.36,0.17,11111111100010100000000
'13:21.453',-0.28,0.195,11111111101001000010000
'13:21.456',-0.24,0.165,11111111101100010100000
'13:21.458',-0.215,0.125,11111111101110011000000
'13:21.461',-0.205,0.075,11111111101111001100000
'13:21.464',-0.205,0.045,11111111101111001100000
'13:21.467',-0.205,0.035,11111111101111001100000
'13:21.469',-0.205,0.06,11111111101111001100000
'13:21.472',-0.215,0.09,11111111101110011000000
'13:21.475',-0.225,0.09,11111111101101100100000
'13:21.478',-0.22,0.095,11111111101101111110000
'13:21.481',-0.215,0.085,11111111101110011000000
'13:21.483',-0.215,0.06,11111111101110011000000
'13:21.486',-0.225,0.06,11111111101101100100000
'13:21.489',-0.235,0.075,11111111101100101110000
'13:21.492',-0.24,0.145,11111111101100010100000
'13:21.494',-0.225,0.21,11111111101101100100000
'13:21.497',-0.215,0.22,11111111101110011000000
'13:21.500',-0.21,0.155,11111111101110110010000
'13:21.503',-0.215,0.04,11111111101110011000000
'13:21.506',-0.23,-0.015,11111111101101001010000
'13:21.508',-0.25,0,11111111101011100000000
'13:21.511',-0.24,0.025,11111111101100010100000
'13:21.514',-0.215,0.055,11111111101110011000000
'13:21.517',-0.21,0.06,11111111101110110010000
'13:21.519',-0.21,0.07,11111111101110110010000
'13:21.522',-0.235,0.095,11111111101100101110000
'13:21.525',-0.25,0.09,11111111101011100000000
'13:21.528',-0.225,0.09,11111111101101100100000
'13:21.531',-0.215,0.09,11111111101110011000000
'13:21.533',-0.185,0.08,11111111110000110110000
'13:21.536',-0.195,0.08,11111111110000000000000
'13:21.539',-0.215,0.105,11111111101110011000000
